id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
57,"Sunnyside -  Huge Private Bedroom, right by 7train",172541609,S,Queens,Sunnyside,40.74625,-73.91388,Private room,65,2,10,44,0.78,1,,7/5/2019
58,Small tidy bedroom in duplex,310458,Emily,Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,0,0.09,2,,8/29/2016
59,ROOM 1,6270968,Ryan,Brooklyn,Bedford-Stuyvesant,40.68364,-73.94067,Private room,43,3,0,320,0,2,,0
60,Beautiful Park Slope Room with Rooftop & Backyard,15398860,Harlan,Brooklyn,South Slope,40.66631,-73.98268,Private room,50,20,0,0,0,1,,0
61,Lovely Woodside room near LaGuardia & 52 St train,137358866,Kazuya,Queens,Woodside,40.74373,-73.90804,Private room,41,30,0,215,0,103,,0
62,Nice and clean private space in Bklyn loft.,2635819,Fabrizio,Brooklyn,Bushwick,40.7014,-73.91333,Private room,59,10,19,0,0.27,1,,6/20/2019
63,"Convenient bedroom, Great location, Close to all",145241163,Witt,Queens,Elmhurst,40.73744,-73.88136,Private room,51,2,38,28,1.66,1,,1/1/2019
64,Cozy Brooklyn Room with Great Vibes,5425440,Ja0e,Brooklyn,Flatbush,40.64488,-73.96889,Private room,48,1,2,0,0.11,1,,1/16/2018
65,"Huge room in beautiful park slope, by barclay ctr",30613046,Debbie,Brooklyn,Park Slope,40.68176,-73.97891,Private room,66,3,2,87,1.03,2,,5/19/2019
66,Private room in artist's loft!,6032480,An0,Brooklyn,Williamsburg,40.7095,-73.94945,Private room,55,2,86,38,1.49,2,,6/11/2019
67,"Private room w/ Loft Bed, Desk, Quick Ride to City",271275248,Nikolas,Brooklyn,Bushwick,40.69057,-73.90671,Private room,50,2,1,15,1,1,,6/30/2019
68,Large *COZY* Private Bedroom near Yankee Stadium,67130668,Melissa,Bronx,Concourse Village,40.82692,-73.92183,Private room,45,5,46,174,1.55,1,,6/2/2019
69,"Spacious, sunny bedroom next to Prospect Park!",2128535,Lily,Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.96246,Private room,50,3,5,0,0.11,1,,1/14/2017
70,Sunny room with private entrance in shared home,16883913,Tiffany,Queens,Ridgewood,40.69919,-73.89902,Private room,45,1,0,0,0,1,,0
71,Spacious Room with Character in BK,82951378,Talor,Brooklyn,Crown Heights,40.67285,-73.95734,Private room,45,1,3,0,0.09,1,,10/15/2017
72,Private room available for summer,23147852,Bria0,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94515,Private room,69,90,0,365,0,1,,0
73,HAPPY HOME,33189255,Miryam,Manhattan,East Harlem,40.80467,-73.9405,Private room,45,2,0,341,0,1,,0
74,i would like to sublet for 3 months,48264527,Roberta,Manhattan,Upper West Side,40.77944,-73.98518,Entire home/apt,40,1,1,0,0.03,1,,3/31/2016
75,Mott Haven Dorm CC,30509656,Orit,Bronx,Port Morris,40.80838,-73.93091,Shared room,28,1,3,363,1.7,8,,6/3/2019
76,Bedroom in Brooklyn Madison 3R-1,226410657,Ni0,Brooklyn,Bedford-Stuyvesant,40.68567,-73.93123,Private room,42,30,0,358,0,27,,0
77,Beautiful room with comfy bed in Bushwick,10018530,Nicole,Brooklyn,Bushwick,40.70328,-73.91429,Private room,50,2,2,0,0.1,1,,7/19/2018
78,Charming Private Room,31241183,Lilian,Manhattan,Washington Heights,40.83741,-73.93928,Private room,65,2,36,273,0.74,2,,6/22/2019
79,"Central Brooklyn Beautiful Rooms
Room Cozy
#2",167098774,Keisha,Brooklyn,Ca0rsie,40.63757,-73.89205,Private room,55,2,27,362,1.74,3,,5/6/2019
80,Gorgeous apt. steps from subway,4061660,Amy,Manhattan,Washington Heights,40.83556,-73.94609,Private room,65,30,1,249,0.04,1,,7/1/2017
81,Large Manhattan Suite,184130293,Sandia,Manhattan,Inwood,40.86408,-73.92257,Private room,50,30,3,0,0.21,2,,3/5/2019
82,Basement studio with half bathroom,40733012,Victor,Brooklyn,Bedford-Stuyvesant,40.68231,-73.91252,Private room,40,7,0,365,0,1,,0
83,Quiet and Modern Haven in NYC,16234492,Denise,Bronx,Soundview,40.82442,-73.86193,Private room,45,2,6,0,0.15,1,,8/7/2016
84,"Rooms in the new hipster area of Brooklyn, NYC 2",266998393,Hector,Brooklyn,Bushwick,40.69423,-73.91945,Private room,40,3,1,96,1,3,,7/2/2019
85,Traveler/Student Prvt Rm w/  1/2 Bath (001),137999892,Simranjeet,Staten Island,Concord,40.60613,-74.08907,Private room,35,4,19,346,0.84,7,,6/22/2019
86,Ultra Plush Large Private cozy cottage Bedroom,217332035,Rose,Brooklyn,Sheepshead Bay,40.59055,-73.9464,Private room,39,1,1,360,0.12,2,,10/31/2018
87,Spacious Private Room by the East River,62792050,Joan0,Manhattan,East Harlem,40.78714,-73.94114,Private room,65,2,6,0,0.37,1,,6/15/2018
88,Brownstone apartment in Bed-Stuy,37627534,Tim,Brooklyn,Bedford-Stuyvesant,40.68953,-73.93187,Private room,49,2,1,0,0.05,1,,9/11/2017
89,Private room,10188543,Charvii,Queens,Richmond Hill,40.69318,-73.83418,Private room,60,1,17,1,6.71,1,,6/19/2019
90,Spacious Master Bedroom in Harlem,231133484,Nicole,Manhattan,Harlem,40.81963,-73.93879,Private room,50,1,3,0,0.47,1,,1/2/2019
91,Spacious room 3 blocks from M train,5641114,Oleg,Queens,Ridgewood,40.70442,-73.89602,Private room,50,2,29,0,1.11,1,,6/27/2019
92,Brooklyn apartment 20 min to Manhattan,486147,Christopher,Brooklyn,Park Slope,40.67174,-73.98616,Private room,63,30,17,73,0.44,1,,9/1/2018
93,Spacious private room Uptown NYC,17713747,Polly,Manhattan,Washington Heights,40.85365,-73.93298,Private room,60,15,1,159,0.03,3,,3/3/2017
94,"Large Brooklyn Room, close to train",24038764,0taly,Brooklyn,Cypress Hills,40.67708,-73.89236,Private room,60,3,2,0,0.05,1,,7/13/2016
95,Modern Apartment. Central Park. B/C,52630170,Flora,Manhattan,Harlem,40.8033,-73.95771,Private room,50,3,2,0,0.05,1,,5/23/2016
96,Private Bedroom with Full Bed in Wash Heights,188050267,Jennifer,Manhattan,Washington Heights,40.83827,-73.93976,Private room,50,2,0,0,0,1,,0
97,Amazing Space...Awesome Location...Private Room,97323051,Mike,Brooklyn,Prospect Heights,40.67431,-73.9651,Private room,66,3,3,0,0.09,1,,10/16/2018
98,Charming Private Bedroom,40085320,Alaa,Brooklyn,Prospect-Lefferts Gardens,40.66064,-73.94315,Private room,55,2,8,22,6.49,2,,6/30/2019
99,"Chic Private Bedroom in Ridgewood, NY by 3 Trains!",242962235,Yuval,Queens,Ridgewood,40.70892,-73.89502,Private room,42,30,0,220,0,23,,0
100,"Cozy Apartment in Williamsburg, BK",27537912,Kenny,Brooklyn,Williamsburg,40.70379,-73.94228,Private room,59,15,12,0,0.28,1,,7/9/2017
101,幸福小屋,232509057,David,Staten Island,South Beach,40.59164,-74.08197,Private room,55,1,10,363,7.14,1,,7/5/2019
102,Cozy Room in Upper West Side Near Central Park,24517762,Laura,Manhattan,Upper West Side,40.80045,-73.96119,Private room,67,3,5,0,0.13,1,,6/2/2016
103,Brooklyn House,147590647,Ava,Brooklyn,Dyker Heights,40.61699,-74.01042,Private room,55,1,39,45,3.45,1,,7/7/2019
104,"Brooklyn room close to the train, L,C,A,Zand J",230037325,Jay,Brooklyn,Cypress Hills,40.67916,-73.90628,Private room,57,1,9,170,3.18,6,,6/23/2019
105,"2beds Private Room Step to LGA, CitiFiled, Midtown",217463199,Marvy,Queens,Flushing,40.74387,-73.82556,Private room,68,3,0,362,0,4,,0
106,1 bedroom in Brooklyn,11228023,Danielle,Brooklyn,Sunset Park,40.65188,-74.00611,Private room,50,30,2,0,0.04,1,,6/27/2017
107,Private Room In Renovated Brooklyn Brownstone!,27560165,Amanda,Brooklyn,Crown Heights,40.67764,-73.94991,Private room,45,1,0,176,0,1,,0
108,Very Large Private Room on quiet st,4494343,Douglas,Bronx,Mount Eden,40.84058,-73.91382,Private room,30,2,291,208,3.69,1,,6/20/2019
109,"Cozy room,25 minutes to Manhattan",32581689,Fnu,Brooklyn,Sunset Park,40.63818,-74.01918,Private room,32,3,1,0,0.16,1,,1/1/2019
110,Sunny Private Room close to Manhattan(Yellow),255899465,Long,Brooklyn,Bushwick,40.69814,-73.9286,Private room,63,2,10,127,3.85,1,,6/30/2019
111,Hip Bushwick right on the L train!,59756933,Magdale0,Brooklyn,Bushwick,40.70223,-73.9148,Private room,60,2,1,0,0.02,1,,3/19/2016
112,Private cozy room- W 145st & Saint Nicholas Ave,92474771,Gustavo,Manhattan,Harlem,40.8233,-73.94461,Private room,65,1,26,0,1.18,1,,5/12/2018
113,Private Room in Nice Apt. Close to Manhattan. WIFI,80561485,Gabriela,Queens,Astoria,40.77418,-73.93545,Private room,50,1,62,7,3.36,2,,6/18/2019
114,Private room in beautiful Brownstone building,16354583,Monica,Brooklyn,Crown Heights,40.67325,-73.94666,Private room,30,5,2,0,0.33,1,,1/31/2019
115,Large private bed/bath in 3BR close to transit,19983675,Ian,Brooklyn,Bedford-Stuyvesant,40.68678,-73.94467,Private room,55,2,3,0,0.09,1,,10/29/2016
116,"Cozy, Quaint and Quiet Private Room",95341869,Carleen,Brooklyn,Bedford-Stuyvesant,40.69502,-73.93984,Private room,60,2,47,77,1.81,1,,5/19/2019
117,BRIGHT & QUIET BEDROOM IN CLINTON HILL BROWNSTONE,10366292,Lea,Brooklyn,Clinton Hill,40.68552,-73.96481,Private room,40,5,2,0,0.06,3,,9/5/2017
118,Chic & Cozy Brooklyn Apartment,27532205,Nichole,Brooklyn,Bushwick,40.68994,-73.90526,Private room,65,1,8,106,3.08,1,,7/6/2019
119,"Cozy 1BD near JFK, Beach, Subway, Buses, & Kitchen",112910861,Francisca,Queens,Far Rockaway,40.59745,-73.76032,Private room,35,1,61,124,2.12,2,,6/6/2019
120,Private Room in Cozy Brooklyn Apt. for Female,9840901,An0,Brooklyn,Bedford-Stuyvesant,40.68105,-73.95783,Private room,40,7,16,221,0.5,1,,5/18/2019
121,Beautiful Apt in West Harlem,24584990,Travis,Manhattan,Harlem,40.8261,-73.95074,Private room,50,3,8,0,0.15,1,,9/2/2016
122,Spacious room in historic house,2723812,Libertad,Bronx,Port Morris,40.80461,-73.92276,Private room,60,3,86,1,1.13,2,,12/12/2017
123,Spacious Private Bedroom in the heart of Bushwick!,216235179,Ni0,Brooklyn,Bushwick,40.69933,-73.92079,Private room,50,30,0,327,0,17,,0
124,300 Square Foot Private Room - in MANHATTAN!!,18418581,Pooja,Manhattan,Washington Heights,40.85228,-73.93498,Private room,67,1,297,271,5.92,3,,7/3/2019
125,"HUGE Master Suite + Private bath, up to 4 Guests!",1903737,0talie,Brooklyn,Bushwick,40.69542,-73.93258,Private room,65,2,5,4,0.11,3,,11/18/2018
126,Quiet living room in Greenpoint 1BR,34738391,Rae,Brooklyn,Greenpoint,40.7308,-73.95394,Private room,60,1,4,0,0.09,1,,10/23/2016
127,Christi0’s home,209372017,Christi0,Bronx,Bronxdale,40.8546,-73.86785,Private room,50,1,24,163,2.24,1,,6/27/2019
128,Quirky apt in great area,30536963,Sarah,Brooklyn,Bushwick,40.6958,-73.91362,Private room,49,2,71,3,3.22,1,,6/17/2019
129,"Sunny, Spacious Bedroom 2 mins from the train!",16091224,Jesse,Brooklyn,Prospect-Lefferts Gardens,40.65704,-73.96086,Private room,60,5,15,41,0.64,2,,6/29/2019
130,Sanctuary from the City,137884235,Megan,Brooklyn,Bedford-Stuyvesant,40.69384,-73.9422,Private room,44,3,4,0,0.16,1,,7/20/2017
131,Cozy private room in Williamsburg,83671631,Esperanza,Brooklyn,Williamsburg,40.71262,-73.94156,Private room,60,2,1,248,0.7,1,,5/27/2019
132,"Spacious, Private Room Near Subway",10583598,Devon,Brooklyn,Prospect-Lefferts Gardens,40.66324,-73.95963,Private room,40,2,9,0,0.22,1,,8/24/2016
133,Cozy easy village apartment in central location,1546439,Isabel,Manhattan,East Village,40.72868,-73.99036,Private room,50,4,1,0,0.03,1,,11/28/2016
134,Spacious shared room in modern Bed-Stuy,159811367,Sergii,Brooklyn,Bedford-Stuyvesant,40.69312,-73.94073,Shared room,32,31,4,341,0.28,10,,3/16/2019
135,Nice beautiful room In the Bronx,3684360,Enrique,Bronx,Allerton,40.85914,-73.86979,Private room,38,1,187,241,2.34,4,,6/23/2019
136,Sunny Private Bushwick Bedroom,163703392,Melissa,Brooklyn,Bushwick,40.69384,-73.90674,Private room,41,1,18,0,1.19,1,,5/5/2019
137,Cozy modern sunny room for 2,87690038,Wesly/Jessica,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,52,2,123,332,4.01,4,,6/17/2019
138,Spacious Room/Great Location,5658953,Claudia,Manhattan,East Village,40.72944,-73.98645,Private room,60,5,66,232,0.87,1,,6/26/2019
139,QUIET GARDEN APT FACING NY BAY!,555739,Rosa0,Brooklyn,Bay Ridge,40.63508,-74.03628,Entire home/apt,65,30,25,188,0.36,2,,12/22/2018
140,Cosy room in Brooklyn!2min to Sbwy,24291213,Joerg,Brooklyn,Sunset Park,40.64009,-74.01714,Private room,35,1,0,0,0,2,,0
141,Cozy Room Available in Brooklyn,28316764,Zachary,Brooklyn,Williamsburg,40.71876,-73.94441,Private room,52,2,4,0,0.24,1,,3/13/2018
142,Great little spot,164048400,Jarryd,Brooklyn,Bushwick,40.70167,-73.93075,Private room,40,1,1,0,0.05,1,,12/30/2017
143,peaceful tree view room in sweet neighborhood,22388424,Leslie,Queens,Ridgewood,40.7058,-73.91041,Private room,42,3,6,52,0.18,2,,6/13/2019
144,Unfinished basement unit under private house,64450303,Elizabeth,Brooklyn,Flatlands,40.62776,-73.94137,Entire home/apt,65,2,97,7,8.87,2,,7/8/2019
145,Affordable Bedroom in Brooklyn,20319948,Cesar & 0dia,Brooklyn,Crown Heights,40.66838,-73.93134,Private room,50,4,28,0,0.95,1,,4/30/2018
146,Big Sunny Room in Bedstuy/Clinton Hill Brownstone,48960226,Julia,Brooklyn,Bedford-Stuyvesant,40.69065,-73.95469,Private room,47,1,5,0,0.25,1,,3/8/2018
147,★ Warm NYC Getaway ★ | Walk/Transit Score 85+ |,131697576,Anisha,Bronx,East Morrisania,40.83243,-73.88608,Private room,55,2,60,171,2.59,4,,6/18/2019
148,"Quiet Private room Queens Nyc,Midtown 30 mins",109012504,Rory,Queens,Maspeth,40.727,-73.88974,Private room,40,3,1,0,0.03,1,,1/18/2017
149,Sunny Room- Prospect Heights- Bklyn,24587292,Rania,Brooklyn,Crown Heights,40.67507,-73.96092,Private room,60,7,0,0,0,2,,0
150,Cozy and bright room with a closet,27281731,Sergii,Brooklyn,Flatbush,40.64295,-73.95276,Private room,40,3,20,131,0.38,1,,7/7/2019
151,Extra Bed in a Cozy & Sunny Studio,54074349,Razan,Manhattan,Chelsea,40.74398,-73.99664,Shared room,46,1,0,0,0,1,,0
152,"Specious light room near Broadway(M,J, L,G trains)",248161322,Sergii,Brooklyn,Bushwick,40.70031,-73.94077,Shared room,35,30,0,311,0,14,,0
153,Great shared house / Bushwick!,10994664,Alexander,Brooklyn,Bushwick,40.69641,-73.90895,Shared room,30,30,2,325,0.11,8,,3/31/2018
154,1 Bedroom available in a four bedroom house,25109819,Stefanos,Queens,Astoria,40.75989,-73.91571,Private room,40,1,5,0,0.35,1,,5/30/2018
155,Large sunny room near park & trains,1287787,Crystal,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.95894,Private room,33,10,3,63,0.13,2,,6/11/2019
156,Weekend NY getaway? Holiday stay?,3472148,Brian,Queens,Ditmars Steinway,40.77452,-73.90889,Private room,60,1,0,0,0,1,,0
157,Queens Apartment downtown flushing,203986261,Ajay,Queens,Flushing,40.75831,-73.82776,Private room,55,1,37,142,3.58,1,,6/21/2019
158,Aquamarine Bedroom,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69459,-73.95551,Private room,65,2,22,289,1.64,34,,6/20/2019
159,STOP n SLEEP Large - LGA LaGuardia Airport and JFK,246194760,Noel,Queens,East Elmhurst,40.75985,-73.88294,Private room,39,1,8,210,2.58,4,,5/10/2019
160,2 Bathrooms-Modern Room in Queens (3),175311339,Eduardo,Queens,Jackson Heights,40.75251,-73.86401,Private room,51,2,60,125,3.93,5,,7/1/2019
161,Cozy Room in Upper East Side,2879920,Alberto,Manhattan,Upper East Side,40.76141,-73.96273,Private room,69,60,43,90,0.65,2,,5/29/2016
162,Gorgeous studio available!,37169371,Shannon,Manhattan,Inwood,40.85945,-73.92834,Entire home/apt,69,1,1,0,0.02,1,,11/27/2015
163,"Quiet, Clean Bedroom in Prime Harlem Location.",1514109,Myles,Manhattan,Harlem,40.79976,-73.95119,Private room,69,3,28,4,2.36,1,,6/24/2019
164,"Sunny Rm #1, Air Conditioner, Park,Express Q train",2478675,Gi0,Brooklyn,Prospect-Lefferts Gardens,40.65524,-73.95646,Private room,46,1,184,362,2.14,5,,6/10/2019
165,"Комната в Манхеттене, 19-24 октября",46182625,Katery0,Manhattan,East Harlem,40.79333,-73.94274,Private room,50,1,0,0,0,1,,0
166,Carib breeze vybz,66309874,Rich,Brooklyn,Cypress Hills,40.68684,-73.87834,Private room,50,3,12,90,0.33,3,,12/8/2018
167,Garden level private room + your own bathroom,2581995,Layla,Brooklyn,Bedford-Stuyvesant,40.68003,-73.91701,Private room,50,4,10,7,1.06,2,,5/18/2019
168,"Small Cozy Room in Astoria, Queens",6586697,Yasha,Queens,Astoria,40.76696,-73.91108,Private room,55,1,4,0,0.45,3,,1/2/2019
169,1 BR in Manhattan - Spacious and Convenient,39601665,Jordan,Manhattan,East Harlem,40.80746,-73.94001,Private room,53,180,0,357,0,1,,0
170,Private room in Harlem,5164854,Lilia,Manhattan,Harlem,40.82075,-73.9379,Private room,52,7,17,17,0.28,8,,10/7/2018
171,MAGNIFICENT apartment in Williamsburg with Balcony,57050977,Gaël-Etienne,Brooklyn,Williamsburg,40.71397,-73.94873,Entire home/apt,68,2,22,0,0.78,1,,9/9/2018
172,"Homey, comfy bedroom with king size bed!",154302755,Vika & Josh,Brooklyn,Bedford-Stuyvesant,40.68796,-73.9259,Private room,60,3,5,110,0.89,5,,5/24/2019
173,convenient location 1 min walk to bus station,5828830,Low,Queens,Jamaica,40.67365,-73.76502,Private room,50,7,11,0,0.44,2,,10/3/2018
174,Comfy Cave Inn,79752355,Eduardo,Bronx,Fordham,40.85859,-73.89571,Entire home/apt,65,1,9,0,0.25,1,,9/2/2017
175,The Shelf: Bedstuy Cozy room,148102066,Beauty,Brooklyn,Bedford-Stuyvesant,40.68593,-73.94396,Private room,60,1,85,0,6.01,4,,1/1/2019
176,Beautiful Bedroom in a brand new apartment! 3L-1,205530337,Ni0,Queens,Ridgewood,40.70279,-73.90601,Private room,45,30,4,248,0.48,8,,6/22/2019
